Horodateur;Prolific ID;What is your current job title? (Developer, Researcher, ... students may indicate degree: PhD, Master);Which LLMs do you mostly use for code generation? Select as many as you use. You can enter one manually if it's not on the list.;Aside from Python, which programming languages did you generate code for using LLMs?;First type of bugs;Second type of bugs;Third type of bugs;Fourth type of bugs;Fifth type of bugs;First type of bugs matching category;Comment;Second type of bugs matching category;Comment;Third type of bugs matching category;Comment;Fourth type of bugs matching category;Comment;Fifth type of bugs matching category;Comment
2024/11/11 10:29:45 AM UTC−5;65465e327a889724c907f3e4;Developer;"ChatGPT;Llama";HTML;syntax errors;improperly formed strings;not including necessary strings;;;Syntax Error;same as us;Syntax Error / Wrong Input;If the string are in different format (utf-8, ascii etc.) it might lead to what we considered a Wrong Input Type. It can also be a Syntax Error, for instance if they are some missing quotation marks etc.;Syntax Error / Wrong Input;Same as before;;;;
2024/11/11 10:42:35 AM UTC−5;5ec950bb79519545f34c591a;Software Engineer;ChatGPT;JavaScript;Syntax Errors: This is for generated code which often includes minor syntax issues, like missing parentheses or mismatched brackets, which prevent it from compiling or running directly.;Logic Errors: This includes logical mistakes that frequently appear in conditionals, loops, or calculations, where the generated code may not follow the intended flow or may use incorrect variable names.;;;;Syntax Error;same as us;Many of of categories;"What the practionner reports is actually a mix of multiple of our categories: ""not following the inteded flow"" can be a Misinterpretation or a Missing Corner Case depending how much it does not follow the flow, ""incorrect variable names"" can be an hallucinated object in our case etc.";;;;;;
2024/11/11 11:14:43 AM UTC−5;66c21d2fea89f30f23a9a2ee;Vulnerability Researcher;ChatGPT;"C;C++";Syntax errors;Issues with imported libraries, not working across modules;;;;Syntax Error;same as us;Missing Corner Cases;Library import issues (i.e. forgot to import it), then we labeled it as a Missing Corner Cases. We did not encounter wrong pathing when library import in our case, as we limited ourselfves to plib runnable, but it could be another category or part of Missing Corner Cases.;;;;;;
2024/11/11 11:19:22 AM UTC−5;66a7a527a0c12c9ee4b55ac4;Senior Data Analyst;ChatGPT;"C++;Java;C#";Bad efficiency with the code, have to clean up the code quite a bit;Logic errors, have to rewrite my prompt multiple times to simplify at times;Variables can be undefined or misused and I have to constantly parse through and double check;;;Not present;We did not check optimality of the code in our case as it is not requested in the prompts of CoderEval, but it could be problematic in some other case;Misinterpretation;"this ""Logic errors"" seem to be more about Misinterpretation, as the practionners mention having to reprompt multiple time to get something correct.";Misinterpretation / Hallucinated Object;"Misused variables can be seen as a misinterpretation, depending how ""misused"" they are (not too clear from the practionner answer). Undefined variables are Hallucinated Object";;;;
2024/11/11 11:23:17 AM UTC−5;5706fb93914b7100093b7925;Software Developer;"Codex (Copilot);ChatGPT";"Java;JavaScript";Misunderstanding of business logic;Inconsistency in approach compared to rest of codebase;failing to recognize context from other files;;;Misinterpretation;not understanding the prompt is literaly Misinterpretation;Not present;This is not evaluated in CoderEval, especially up to plib runnable. This could be something different (i.e. not the same style which complexify debugging) or a Misinterpretation;Not present;Same as before, we do not have other files in our context;;;;
2024/11/11 11:27:04 AM UTC−5;6296ecaf7ea72c4951583ffd;Senior Solutions Engineer;"Codex (Copilot);ChatGPT";"C;C++;Java;JavaScript;Go;Rust, Haskell";Syntax errors/compilation errors/runtime errors associated with not using a RAG-based system and pulling from training data that is older for using certain third party libraries and packages of vendor code which have been updated since the training date of the model and those updates are significant to cause confusion with the model as it utilizes old training data and documentation to provide the answer.;Type errors associated with untracked variables or variables that may have been lost from context and not available to the model to utilize in generating code.;Semantic errors associated with poorly defined context in prompts can lead to some interesting types of hallucinations where you can sometimes see one-off/iteration types of errors.;Lack of generalization types of errors where the model will not parameterize optimally but instead hard-code everything.;;Missing Corner Cases / Not defined;We actually noticed and mentioned this in our paper, but we did not have enough individual instances to warrant a single category. More than inconsistence in version between prompt / train data (or RAG), we saw inconsistence in between calls if the version is not specified;Misinterpretation / Hallucinated Object;"Can be a misinterpretation as it's semantic error, but as the practionner mention ""hallucination"" based on the poorly defined prompt, it could also reflect the hallucinated object category we observed";Prompt-biased;exactly our category, with the LLM sticking too closely to what is asked but without generalizing;;;;
2024/11/11 11:30:14 AM UTC−5;65c072fe454cef4b9b1ab25f;Developer;"Codex (Copilot);ChatGPT";"JavaScript;Go";Syntax errors when using less popular libraries.;Logical bugs, when I request high-level complex code out of an LLM, there are often logical errors.;;;;Syntax Error / Wrong attribute;Can be Syntax Error but we supposed the practionner meant in that case problems with API calls, if the library is not well known by the LLM. In that case, it would lead to a Wrong Attribute;Misinterpretation / Missing Corner Cases;it is a misinterpretation or, in best case, a missing corner cases;;;;;;
2024/11/11 11:30:46 AM UTC−5;5fb97228ff45687f38da7813;Developer;ChatGPT;"Java;C#";Out of date syntax not compiling;Incoherent code;Variables changing throughout the code;;;Syntax Error / Missing Corner Cases;we observed it when the llm would use Python 2 insteaad of Python 3. This is a version issue, that is not described in the prompt.;Misinterpretation / Silly Mistake;"Could be a misinterpretation, in a sense that ""incoherent"" could mean it is not doing what was asked. Could maybe be also a Silly Mistake, with a code doing some gibberish for now reason.";;;;;;
2024/11/11 11:31:00 AM UTC−5;636155035a53907e8c192d5b;QA Tester;"Codex (Copilot);ChatGPT";"C;C++;Java;JavaScript;C#";syntax errors;api errors (400 errors);recurrence errors (infinite loops);;;Syntax Error;same as us;Syntax Error / Not present;We do not have HTML request in the tasks we parsed of CoderEval, so we do not have 400 errors. However, the closest we would have is a badly formatted string or code and so a Syntax Error;We only found one instance in our sample, so did not warrant a category. In our case, the implementation was completly false on top of the infinit loop;;;;;
2024/11/11 11:31:45 AM UTC−5;66691c947dbe16591483d288;Bachelor;"Codex (Copilot);ChatGPT";"C;C++;Java;JavaScript";"- I think the major one is Logic Errors caused by 
misinterpretationof the problem. This happens when a code rurns properly without any syntax error but the oucome is that the code produces incorrect results. 
- Recurring patterns are such that it leads to looping through arrays, it fails in handling boundary carefully and fails to handle boundary factors.
- Common Contexts are such as it has issues in the data processing where it produces incorrect assumptions in the data that was inputed and produces wrong values.";"- Second type of bugs is having Infinite and incorrect.
- Its charecteristics is that it produces codes that sometimes may fail or also may fail to end and it is tough when dealing with tough inputs.
- The Recurring Patterns is that it may sometimes misses the exit conditions that it was supposed to exit with.";;;;Misinterpretation;First one is misinterpretation as us.;Missing Corner Cases? Though not so clear;;;;;;;
